Word,Count,Translation,Hiragana Reading,Category
親しみ,1,affection,したしみ,名詞
触れ,1,touch or proclamation,ふれ,名詞
言う,6,to say,いう,名詞
言葉,2,word,ことば,名詞
記憶,1,memory,きおく,名詞
記憶,1,memory,きおく,名詞
訳,1,reason,やく,名詞
証,1,proof,あかし,名詞
証明,1,proof,しゅうめい,名詞
話し,3,talking,はなし,名詞
話し方,2,way of speaking,はなしかた,名詞
誇り,1,pride,ほこり,名詞
誓っ,1,to pledge,ちか,名詞
語り合,1,to talk together,かたりあい,名詞
読み,1,reading,よみ,名詞
読ん,1,to read,よん,名詞
読書,3,reading,どくしょ,名詞
誰,3,who,だれか,名詞
誰,1,who,だれ,名詞
誰か,1,somebody,だれか,名詞
誰も,1,who,だれも,名詞
謎,1,riddle,なず,名詞
識,1,acquaintanceship,しき,名詞
識,1,acquantanceship,しき,名詞
豪華,1,extravagant,ごうか,名詞
貴方,4,you,あなた,名詞
貴重,1,precious,きちょう,名詞
買え,1,to buy,かえ,名詞
賑やか,1,busy,にぎやか,名詞
赤い血,1,red blood,あかいち,名詞
走る,1,to run,はしる,名詞
起き,1,to get up,おき,名詞
越え,2,surpass,ごえ,名詞
足跡,1,footprints,あしあと,名詞
距離,2,distance,きょり,名詞
路地,1,alley,るじ,名詞
踊おどる,1,dance,おどり,名詞
身,2,one's body,ま,名詞
身体,1,body,しんたい,名詞
車庫的な,1,sociable,しゃこてきな,な形容詞
輝い,3,to shine,かがや,名詞
輝か,2,radiance,てるか,名詞
近藤,5,kondo,こんどう,名詞
返,1,return,かえ,名詞
迷わず,1,to get lost,もうわず,名詞
迷宮めいきゅう,1,labyrinth,めいきゅう,名詞
追い,1,to chase,おい,名詞
追いかけ,1,to chase,おいかけ,名詞
送くる,1,to send,おくる,名詞
逆,2,reverse,ぎゃく,名詞
途切,2,to cut short,とぎ,名詞
途切,1,to break,とぎれ,名詞
通り過ぎ,1,to go pass,とおりすぎる,名詞
速さ,1,speed,はやさ,名詞
運命,1,fate,うんめい,名詞
過ごし,1,to spend,すごし,名詞
過ごす,8,to spend time,すごす,名詞
過去,1,the past,かこ,名詞
道,1,road,みち,名詞
違う,1,to differ,ちがう,名詞
遠く,1,far away,とおく,名詞
適当,1,suitable,てきとう,名詞
選,1,selection,せん,名詞
選ば,1,to choose,えらぶ,名詞
選び,1,choosing,えらび,名詞
部屋,2,room,へや,名詞
重く,1,heavy,おもく,名詞
野菜,1,vegetable,やさい,名詞
金持,1,rich person,かねもち,名詞
銀河,1,Milky Way,ぎんが,名詞
録っ,1,record,ろく,名詞
鍵,1,key,かぎ,名詞
鎧,2,armor,よろい,名詞
長く,1,long,ながく,名詞
閉,1,closed,へい,名詞
閉,2,close,と,名詞
開く,1,to open,ひらく,名詞
関わ,1,to be involved in,かかわ,名詞
関係,7,relation,かいけい,名詞
闇,1,darkness,やみ,名詞
降る,2,to fall,ふる,名詞
限界,1,threshold ,げんかい,名詞
隙,1,gap,すき,名詞
集中,3,concentration,しゅうちゅう,名詞
集中,1,concentration,しゅうちゅう,名詞
離,31,detach,はな,名詞
離さ,1,to separate,はなさ,名詞
離れる,1,to be separated,はなれる,名詞
